date	canada	usa	o_america	brunei	indonesia	malaysia	myanmar	philippines	thailand	vietnam	o_se_asia	hk	japan	china	skorea	taiwan	o_nasia	bangladesh	india	nepal	pakistan	sri lanka	o_sasia	iran	israel	kuwait	sarabia	uae	o_wasia	austria	belgium&lux	denmark	finland	france	germany	greece	italy	netherlands	norway	poland	ireland	russia	spain	sweden	switzerland	turkey	uk	o_eeurope	o_weurope	oceania	australia	nz	o_oceania	egypt	mauritius	sa	o_africa
2011-06-30	5125	39712	3043	6510	253383	97856	7571	52257	32783	36751	3112	37962	38061	103335	34233	20445	2807	7984	90742	957	2740	5296	864	2020	881	862	1512	5064	2137	1010	1498	1578	1985	7990	12094	446	3099	4924	2262	751	1499	3085	2015	2011	4497	795	24462	3215	938	98646	84371	12891	1384	331	627	2117	2186
2011-07-31	7098	43187	3366	5522	251419	90175	9196	50938	40848	45542	4079	56960	55479	183862	40587	33454	3374	9038	71209	987	3568	7585	810	2182	1170	2404	3696	9149	3586	1779	2683	3064	1991	13943	15675	555	4151	9682	3201	1216	1785	3888	3336	2455	7318	1170	30659	4112	1183	112000	94690	15973	1337	496	953	2965	3048
2011-08-31	6399	34221	2608	4556	228209	91344	7256	49558	34385	30612	3413	49034	72034	183890	44364	26574	3778	7316	60926	1163	1154	7586	549	2339	1006	580	1056	6637	1844	1913	2464	1595	1240	17520	18141	648	8242	8909	1905	1192	1570	4033	5411	1726	6090	1145	34967	3875	1699	84622	71953	11612	1057	238	841	1798	2336
2011-09-30	4554	29821	2979	3910	221319	103060	6966	51859	33009	26678	3940	31113	62395	104211	30112	19057	1695	8866	58309	1079	1319	6394	644	3485	922	710	1545	4660	1698	1582	1819	1659	1259	10434	17400	494	3867	6318	1964	1262	1521	4262	2948	1901	5725	1168	33956	3565	1380	96987	86076	9698	1213	393	585	2715	2249
2011-10-31	6814	36840	4275	4238	193879	88770	7624	63218	53133	23285	3266	31027	57677	133563	33594	17775	1894	8085	77196	1333	1574	6469	732	1706	1136	361	1142	3710	1487	1716	2222	2241	2202	11204	18938	578	3767	7112	2667	1354	1561	4575	3343	3228	7596	919	36362	4719	1409	95623	84509	9876	1238	373	750	2853	2076
2011-11-30	7843	36701	3614	5139	188488	104972	7096	52726	29299	23406	3725	31543	61293	100824	33145	15865	1632	7610	72387	1107	1486	6560	820	1827	1085	668	1907	6958	2139	1901	2181	2279	3092	11166	22487	591	4718	6532	3377	2135	1695	5517	3173	3947	7767	1808	39074	5376	1327	80355	70012	8888	1455	279	1080	2100	1964
2011-12-31	7610	36418	3501	10382	284232	130493	8594	57114	39338	26995	3332	36204	62585	113390	29605	15153	2546	8366	78434	1180	1850	11387	1009	2029	778	495	1167	5857	1938	1629	2025	2232	4319	12050	21448	767	4873	6168	3097	1288	1526	6881	3060	4934	6687	1098	37057	6040	1199	96626	84723	10514	1389	253	1837	5305	2250
2012-01-31	8495	38922	4236	4862	230500	88969	6710	42248	28725	27160	3332	39000	50672	201742	45933	27457	2455	7250	57265	1289	1496	5407	653	1726	1138	483	1664	3990	1229	2210	2153	3250	4792	10939	26463	786	5443	7082	3238	2147	1566	12759	2473	5682	7253	1953	40128	8213	1481	107329	94946	11207	1176	269	821	3185	1843
2012-02-29	8303	41970	3775	4782	211738	88451	7038	50931	33176	26059	2818	30416	67306	158002	45397	27260	1960	7639	61815	1010	1405	6251	579	1483	1336	655	975	4211	1818	2803	2392	4261	5586	14493	27868	802	5314	7351	4038	2559	1557	6533	2398	5967	7709	2001	47132	7440	1702	71466	63878	6613	975	319	729	2172	1306
2012-03-31	9930	45720	4424	6942	227695	108054	8197	58682	43230	28214	3152	35154	74995	182348	34077	21401	1715	8951	65547	997	1492	5286	665	5048	1216	340	1244	6088	1775	2305	2610	3557	4144	14253	30111	724	6122	7163	4579	1763	1817	6603	3107	5175	7958	1874	52109	7399	1716	79598	70960	7469	1169	271	813	2992	1791
2012-04-30	7294	35169	4860	4472	214289	96892	12114	75052	56217	29837	5027	47141	49203	173543	31252	22999	2493	9279	76035	1027	1294	10243	810	886	979	389	1029	5282	1464	1829	2637	2660	2358	14517	19375	660	4848	5609	3444	1265	1463	5023	3051	3447	7726	1276	38477	4989	1535	92969	81927	9881	1161	345	1220	3018	1640
2012-05-31	6166	36739	3806	4649	228359	99568	8984	72484	42583	30562	3647	33091	50006	139946	33018	20607	1471	9231	124147	1021	1489	5346	769	924	977	318	874	4312	1297	1338	1661	1644	1607	10902	14377	627	3639	5329	1875	1034	1240	3939	2131	2008	5467	1025	26725	3729	1244	84044	72641	10137	1266	267	534	2251	1417
2012-06-30	5356	43468	3734	6980	253510	107356	7397	49957	34526	39560	3388	36897	52387	122630	34394	21006	2393	9782	93694	948	3119	6040	781	1345	1088	979	2519	5716	2430	1217	1669	1801	1745	9301	13106	571	3668	5194	2506	846	1560	3567	2263	2043	4657	1100	25647	3731	997	106250	92951	12021	1278	304	681	2591	1523
2012-07-31	7346	44265	4347	5485	246772	90449	7699	45249	34542	46521	4297	50113	61139	201652	42524	33511	3059	10330	68749	1028	3327	5847	650	1403	1239	965	2176	7448	2767	2095	2884	3359	1425	15402	17784	670	5403	9847	3587	1237	1862	3848	3663	2430	8219	1363	31195	4677	1218	120708	105570	13772	1366	315	615	2674	2218
2012-08-31	6454	36979	3194	5860	276938	107841	6527	45775	38137	33230	3332	48138	82747	206734	47383	27903	4138	9707	63579	1103	1394	7979	631	1985	999	1231	1785	8068	2847	2145	2692	1864	992	20864	20355	755	11397	8361	1903	1303	1661	4101	5802	1872	6816	1334	34338	4523	1550	91192	79292	10901	999	258	932	1841	2088
2012-09-30	4858	32008	4146	4106	195481	90484	6502	46880	34926	25917	3220	34584	65991	128830	31247	18385	1633	10030	58748	939	1710	6398	690	1747	1171	597	1080	4588	1684	1712	1970	1885	1586	12529	19658	678	5174	6117	2254	1374	1421	4002	3565	1905	5931	1120	34849	3967	1392	113924	100891	11669	1364	340	571	2637	1968
2012-10-31	7002	38016	5618	5070	215668	93945	6935	56058	57136	25749	5059	38630	62436	170529	34713	20456	1861	9456	72348	1702	1368	7229	794	575	1331	550	2517	5100	2171	1967	2046	2517	2541	11328	20744	675	4265	6884	2907	1326	1740	4909	3646	3035	7634	2170	38074	4935	1289	112575	100138	11158	1279	324	512	2230	1857
2012-11-30	7659	40170	4674	6194	229432	124008	6870	55125	33908	25249	4069	36704	70696	177112	34014	20223	2089	8922	74794	1048	1395	6607	769	738	1091	416	1006	4305	1652	1810	2188	2290	2889	12585	20254	603	5298	6638	3502	2493	1683	6370	3264	3875	7564	1338	39509	5930	1388	93863	83972	8550	1341	341	1158	2227	1685
